day,block,tick,sqrtPrice,rate
90,25028584,-873,75844427024065241427148814681,1094078182044947894
89,25035784,-874,75841546097311698877255060383,1094135968702296373
88,25042984,-878,75828936968767368160993316848,1094209838053899381
87,25050184,-879,75824338041268142715046816049,1094299098059872398
86,25057384,-889,75787453672829074363784390883,1094366241536991211
85,25064584,-895,75761313333229205199723890196,1094434650007337586
84,25071784,-898,75752049289676899104127300222,1094490858396942884
83,25078984,-898,75753340178451434387016587497,1094550015886486300
82,25086184,-898,75753218752337964051200155154,1094630081269401175
81,25093384,-898,75753218558318077440250773221,1094711848107919683
80,25100584,-898,75753218558318077440250773221,1094790250335416991
79,25107784,-901,75738388485112875854982932006,1094853155302256837
78,25114984,-902,75737369695342875965126480970,1094935601729936100
77,25122184,-903,75734427047459869032121400453,1095004033376713465
76,25129384,-903,75731746834828912887566046902,1095073194288229929
75,25136584,-904,75728344190713299880709984544,1095135300639894610
74,25143784,-905,75726817440128965820475577467,1095210042923897746
73,25150984,-905,75725691010943259369275417794,1095285848661026461
72,25158184,-907,75718810958335617812412002772,1095346760901707353
71,25165384,-907,75718661016021610330637306499,1095422129940465748
70,25172584,-907,75716322540678750177847031906,1095489428977356320
69,25179784,-908,75714524778622852977468964391,1095570350306746769
68,25186984,-909,75709423789120082046437275515,1095655097302081287
67,25194184,-909,75708816615515819233204514810,1095734337546249062
66,25201384,-909,75708816740752889817479711904,1095799903659961268
65,25208584,-910,75704536641858895017289134235,1095875968969315144
64,25215784,-910,75704236099211254894175100128,1095951788153538287
63,25222984,-914,75690033070504959188796054394,1096015903975554548
62,25230184,-914,75690077307958638698677302643,1096082225170996383
61,25237384,-914,75690077307958638698677302643,1096164576599821479
60,25244584,-910,75704234957477374270497668528,1096245846574180887
59,25251784,-910,75704244458072497063663302803,1096327028812451758
58,25258984,-910,75704234627270677789737521379,1096422108093532800
57,25266184,-910,75704234902922366293047296500,1096514886861540121
56,25273384,-910,75704234592379721976865293317,1096594209219729868
55,25280584,-910,75704234611455143870976471401,1096664470873705582
54,25287784,-910,75704234813883998546405043934,1096748623115324541
53,25294984,-910,75704235145589284406297449558,1096825851770781276
52,25302184,-910,75704234683789224083629690848,1096890702620868574
51,25309384,-957,75529093002218618568373588180,1096968525274063480
50,25316584,-957,75529093002218618568373588180,1097044860041547705
49,25323784,-921,75665298533615646577375040431,1097107161764807858
48,25330984,-921,75665298533615646577375040431,1097184314846355722
47,25338184,-921,75665298533615646577375040431,1097260639969320964
46,25345384,-921,75665298533615646577375040431,1097325147194010001
45,25352584,-924,75653021637895310687298946780,1097402098306323112
44,25359784,-925,75648101550248221793630941226,1097479213315778240
43,25366984,-926,75645584062624392171398338081,1097542529104814575
42,25374184,-926,75644045052764140170758566327,1097616650733037082
41,25381384,-926,75644061213106455480754495528,1097691273865166322
40,25388584,-926,75644061095936898159386505298,1097754499933810177
39,25395784,-926,75644075275132812422744762916,1097829495045512121
38,25402984,-926,75643731266844243371795242442,1097866715640919406
37,25410184,-927,75640863142517534207139472297,1097974920284631942
36,25417384,-929,75635274082210623567789262282,1098054997758345040
35,25424584,-929,75633779266263578379424512870,1098117128317304917
34,25431784,-930,75629150527629995665087762814,1098190167918792297
33,25438984,-930,75629139860788440020185028559,1098264480583938293
32,25446184,-930,75629140078709653571358022003,1098326988064715412
31,25453384,-932,75624008844659594961020791839,1098402099695224784
30,25460584,-932,75621840980784045003169055520,1098476910002963346
29,25467784,-933,75618659690295395732797260765,1098538640534973553
28,25474984,-933,75617656026730320916448289009,1098611412073318523
27,25482184,-935,75609903804700974162962154228,1098684248915031722
26,25489384,-937,75605463323563318112606524847,1098747764652447429
25,25496584,-937,75605463323563318112606524847,1098824741877067838
24,25503784,-938,75600672885858292478422961118,1098900929025542196
23,25510984,-938,75598760940247397434200009188,1098963642774327081
22,25518184,-939,75596727751613637462587995972,1099038221314647315
21,25525384,-940,75594008543587027290717851127,1099101064305695168
20,25532584,-940,75592659513191547677609777122,1099178877313604759
19,25539784,-940,75590770364480292577403277916,1099309548470946558
18,25546984,-940,75590769864702312444534179311,1099373719035987092
17,25554184,-942,75583212177751340070027095545,1099455314572813925
16,25561384,-942,75583212177751340070027095545,1099531012175112801
15,25568584,-942,75583212177751340070027095545,1099594401151909814
14,25575784,-941,75588277187389882188140549240,1099668323190575352
13,25582984,-947,75565452906939278076688973689,1099745449779446987
12,25590184,-947,75565452906939278076688973689,1099810548636735730
11,25597384,-947,75565452906939278076688973689,1099886845118006204
10,25604584,-947,75565452906939278076688973689,1099962819861830786
9,25611784,-947,75565452906939278076688973689,1100027752229268100
8,25618984,-949,75560065728294046770276414491,1100100814932020371
7,25626184,-949,75560065728294046770276414491,1100164373672296753
6,25633384,-950,75553959377259435837560595936,1100243022885385444
5,25640584,-950,75553628057921097331341625266,1100320075483234102
4,25647784,-950,75553605471337010345292926637,1100385638545932368
3,25654984,-950,75553605471337010345292926637,1100463674346006597
2,25662184,-950,75553605471337010345292926637,1100542022029764637
1,25669384,-948,75563703297912742101208982381,1100608203577417876
0,25676584,-948,75563704110781609282440831555,1100683935951115986
