pool,day,n_swaps,vol_token0
A,0,0,0.000000
A,3,0,0.000000
A,6,2,0.000056
A,9,0,0.000000
A,12,0,0.000000
A,15,0,0.000000
A,18,1,0.016000
A,21,1,29.716744
A,24,6,31.083207
A,27,7,100.852157
A,30,4,16.129393
A,33,4,0.105469
A,36,4,163.682591
A,39,1,0.148814
A,42,5,3.150012
A,45,30,148.628789
A,48,0,0.000000
A,51,1,0.000038
A,54,0,0.000000
A,57,0,0.000000
A,60,1,0.000170
A,63,1,0.022000
A,66,0,0.000000
A,69,3,0.111568
A,72,2,22.752878
A,75,1,15.040116
A,78,0,0.000000
A,81,0,0.000000
A,84,0,0.000000
A,87,9,571.007045
A,90,0,0.000000
A,93,1,0.030000
A,96,10,499.142820
A,99,2,7.019457
A,102,28,684.457840
A,105,662,3625.399179
A,108,0,0.000000
A,111,4,0.010780
A,114,0,0.000000
A,117,0,0.000000
A,120,1,10.370921
A,123,1,0.131191
A,126,0,0.000000
A,129,6,6.248759
A,132,0,0.000000
A,135,2,0.085606
A,138,0,0.000000
A,141,2,0.000065
A,144,1,0.000069
A,147,1,0.000033
A,150,0,0.000000
A,153,3,46.752694
A,156,1,16.325468
A,159,3,176.663173
A,162,3,15.000000
A,165,0,0.000000
A,168,3,3.373094
A,171,8,140.641133
A,174,2,48.917831
A,177,1,1.000000
A,180,2,0.457511
B,0,20,3.473592
B,3,8,0.617589
B,6,28,2.922139
B,9,1,0.003021
B,12,15,1.102010
B,15,1,0.000148
B,18,12,0.477471
B,21,55,559.692015
B,24,13,202.179885
B,27,15,49.609998
B,30,9,3.200047
B,33,11,16.491331
B,36,8,47.365629
B,39,18,48.141985
B,42,5,2.353018
B,45,27,71.215017
B,48,2,0.012578
B,51,1,0.002251
B,54,5,0.941444
B,57,16,63.368227
B,60,35,73.171718
B,63,17,0.839208
B,66,7,0.173652
B,69,6,1.875193
B,72,11,8.539166
B,75,10,147.633581
B,78,30,2854.386500
B,81,8,380.761534
B,84,7,25.351116
B,87,42,859.545973
B,90,44,221.602699
B,93,18,195.646595
B,96,39,800.169236
B,99,31,125.932643
B,102,141,951.615567
B,105,1417,3132.652279
B,108,5,13.017689
B,111,25,39.851605
B,114,47,245.271614
B,117,17,73.141320
B,120,16,33.643053
B,123,2,1.351188
B,126,4,9.922411
B,129,6,2.587769
B,132,4,3.126306
B,135,10,11.689862
B,138,14,7.264630
B,141,8,11.453220
B,144,12,1.451860
B,147,13,30.162448
B,150,5,3.287969
B,153,32,224.937329
B,156,6,1.103361
B,159,18,141.491851
B,162,13,34.796580
B,165,8,13.932011
B,168,10,18.300046
B,171,26,51.079035
B,174,31,40.229432
B,177,30,69.991186
B,180,41,53.138946
CONTROL,0,1598,0.000024
CONTROL,3,1968,0.000028
CONTROL,6,2148,0.000063
CONTROL,9,931,0.000007
CONTROL,12,1608,0.000067
CONTROL,15,920,0.000012
CONTROL,18,1283,0.000025
CONTROL,21,1576,0.000026
CONTROL,24,1759,0.000028
CONTROL,27,1846,0.000033
CONTROL,30,1262,0.000015
CONTROL,33,1537,0.000017
CONTROL,36,1384,0.000012
CONTROL,39,2090,0.000039
CONTROL,42,1926,0.000028
CONTROL,45,1262,0.000013
CONTROL,48,2128,0.000033
CONTROL,51,699,0.000003
CONTROL,54,1703,0.000017
CONTROL,57,2304,0.000018
CONTROL,60,3477,0.000081
CONTROL,63,1738,0.000047
CONTROL,66,1053,0.000021
CONTROL,69,1060,0.000028
CONTROL,72,1244,0.000035
CONTROL,75,1105,0.000020
CONTROL,78,662,0.000011
CONTROL,81,1076,0.000008
CONTROL,84,1984,0.000006
CONTROL,87,1852,0.000007
CONTROL,90,1020,0.000011
CONTROL,93,567,0.000003
CONTROL,96,1232,0.000010
CONTROL,99,1901,0.000009
CONTROL,102,1643,0.000016
CONTROL,105,1780,0.000022
CONTROL,108,1553,0.000012
CONTROL,111,1346,0.000017
CONTROL,114,649,0.000006
CONTROL,117,2143,0.000021
CONTROL,120,886,0.000012
CONTROL,123,1548,0.000059
CONTROL,126,1471,0.000052
CONTROL,129,1150,0.000056
CONTROL,132,1391,0.000041
CONTROL,135,796,0.000016
CONTROL,138,1080,0.000007
CONTROL,141,1056,0.000023
CONTROL,144,1409,0.000034
CONTROL,147,2094,0.000098
CONTROL,150,1427,0.000039
CONTROL,153,1832,0.000074
CONTROL,156,1715,0.000043
CONTROL,159,2715,0.000072
CONTROL,162,1014,0.000019
CONTROL,165,1386,0.000038
CONTROL,168,1887,0.000055
CONTROL,171,1877,0.000052
CONTROL,174,1993,0.000057
CONTROL,177,2811,0.000106
CONTROL,180,3076,0.000079
